,Mean,Min,Names,Num
49,-0.36532903362978975,0.002139,PRKCZ,813
50,-0.40347846446335767,0.02282,LOC100506504,80
51,-0.40667984676418617,0.015498075708099999,C1orf86,165
52,-0.4372313005277169,0.001527,SKI,472
53,-0.3489310281208284,0.001527,MORN1,602
54,-0.3495464472985176,0.023625411457400002,RER1,161
55,-0.4616930000830373,0.0257194195618,PEX10,147
56,-0.39429815280571084,0.00469690470599,PLCH2,258
57,-0.36968539347609936,0.00469690470599,PANK4,203
58,-0.37814039736780647,0.00701868466637,HES5,112
59,-0.47140389816113787,0.061529999999999994,TNFRSF14,139
60,-0.3828167060537538,0.00842,FAM213B,167
61,-0.3889623614508864,0.005586,MMEL1,372
62,-0.2563116452741416,0.02963,TTC34,595
63,-0.4109074281773555,0.0132092039995,ACTRT2,121
64,-0.45030254695085536,0.00029189999999999994,PRDM16,2259
65,-0.41950723116553945,0.02547,ARHGEF16,254
66,-0.35448193588581417,0.005384000000000001,MEGF6,892
67,-0.3475941434039099,0.057929999999999995,TPRG1L,166
68,-0.39863223540911297,0.057929999999999995,WRAP73,228
69,-0.35428534405734413,0.01089,TP73,506
70,-0.43004767275839456,0.000617032582909,CCDC27,226
71,-0.5924776519031651,0.000617032582909,SMIM1,170
72,-0.5007022809092608,0.00117615299126,LRRC47,260
73,-0.4186213180492561,0.00723102384235,CEP104,532
74,-0.37076504122964565,0.00723102384235,DFFB,384
75,-0.27317627527757576,0.033132322674699996,C1orf174,196
76,-0.3229390691557488,0.0005901,AJAP1,1117
77,-0.4747641604144665,0.00591,NPHP4,859
78,-0.4255878257977706,0.0002097,KCNAB2,605
79,-0.5642922713578145,0.002254,CHD5,493
80,-0.5746370861140386,0.012221563987399998,RPL22,123
81,-0.5399896710469854,0.01643,RNF207,134
82,-0.6104045090460003,0.01643,ICMT,125
83,-0.7248187917962821,0.0150568633182,HES3,69
84,-0.6289104834844178,0.01024,GPR153,127
85,-0.35323816917751,0.004965,ACOT7,776
86,-0.3703919224200623,0.03057,HES2,151
87,-0.3518711812945166,0.005159,ESPN,252
88,-0.34255954497931174,0.017830000000000002,TNFRSF25,101
89,-0.42334783333841447,0.01094,PLEKHG5,335
90,-0.5246806719452077,0.00385,NOL9,349
91,-0.5140615789363011,0.00385,TAS1R1,237
92,-0.5178113766052194,0.02316,ZBTB48,108
93,-0.5211160162960842,0.0251241785855,KLHL21,122
94,-0.5264941423880363,0.007686259236909999,PHF13,122
95,-0.6158824691706858,0.0038469999999999997,THAP3,148
96,-0.5535386897423349,0.0005425,DNAJC11,387
97,-0.4615976435989122,4.09800497042e-06,CAMTA1,4455
98,-0.49767114137553764,0.0471309563963,VAMP3,126
99,-0.4649560510429918,0.02453,PER3,459
100,-0.33872829199977555,0.0359556044316,UTS2,172
101,-0.2688625910500142,0.029689999999999998,TNFRSF9,198
102,-0.5020872023370717,0.003081,PARK7,194
103,-0.44678991610672286,0.003036,ERRFI1,124
104,-0.5587729894878121,0.0018101292763599997,SLC45A1,225
105,-0.5085352478473378,0.00115242075539,RERE,1546
106,-0.320891507009593,0.030969999999999998,ENO1,150
107,-0.47561518132694036,0.013909999999999999,CA6,285
108,-0.44748924527867906,0.0122,SLC2A7,234
109,-0.614914567353426,0.00191170832956,SLC2A5,363
110,-0.5187566074261857,0.006548,GPR157,213
111,-0.40545884299207874,0.003474,H6PD,316
112,-0.3587998414310221,0.003474,SPSB1,796
113,-0.5939046206433879,0.0107812361026,SLC25A33,183
114,-0.7751678405989864,0.00530836029358,TMEM201,122
115,-0.5061677909869463,0.0040703956484499995,PIK3CD,406
116,-0.49799516655933657,0.006651000000000001,CLSTN1,416
117,-0.4922808122427722,0.01054,CTNNBIP1,304
118,-0.3651547102198172,0.018369999999999997,LZIC,171
119,-0.3062769954541907,0.0067469999999999995,NMNAT1,237
120,-0.2871325789618213,0.01848,RBP7,151
121,-0.3505978260568872,0.001166,UBE4B,718
122,-0.4817679890258999,0.001396,KIF1B,1027
123,-0.4300776264964746,0.01281,PGD,209
124,-0.3215204443876443,0.01176,APITD1,191
125,-0.3317158760735594,0.01176,APITD1-CORT,201
126,-0.3986335377548598,0.01738,CORT,79
127,-0.35679770974146396,0.01738,DFFA,155
128,-0.322911189238142,0.002137,PEX14,729
129,-0.4226161543784547,0.002703,CASZ1,701
130,-0.357022317684853,0.0070799999999999995,C1orf127,306
131,-0.3525277012351744,0.011476945605600001,TARDBP,154
132,-0.34704716420613746,0.0404970948476,MASP2,194
133,-0.34019598330792444,0.04096,SRM,145
134,-0.2627807077443263,0.04688,EXOSC10,266
135,-0.2701678505465226,0.01889,MTOR,730
136,-0.2916973153087122,0.08101118655060001,ANGPTL7,94
137,-0.45789694321378616,0.008397,UBIAD1,112
138,-0.4419235736348635,0.0186,PTCHD2,338
139,-0.46300107036070187,0.017941221220599997,FBXO2,112
140,-0.4577183710362359,0.03997,FBXO44,132
141,-0.4771281930807477,0.0297062095841,FBXO6,142
142,-0.3761644647110265,0.0297062095841,MAD2L2,171
143,-0.3278502704778705,0.015393850799700001,DRAXIN,204
144,-0.4379719833205049,0.013910610762,AGTRAP,139
145,-0.6757900155648168,0.0034760905634800003,C1orf167,291
146,-0.5518947994880398,0.0012172570938599999,MTHFR,301
147,-0.4260665811270605,0.0012172570938599999,CLCN6,407
148,-0.46849887468404816,0.0072939262211899995,NPPA,141
149,-0.44130048779505776,0.0166870120401,NPPB,114
150,-0.5635620508919887,0.0060922435687,KIAA2013,136
151,-0.31751779185164736,0.0060922435687,PLOD1,266
152,-0.40109857015076883,0.009817,MFN2,245
153,-0.47521433597014584,0.0500543712537,MIIP,110
154,-0.617295371292812,0.0007779,TNFRSF8,356
155,-0.732396493806307,0.002957,TNFRSF1B,262
156,-0.37447307823330406,8.37e-05,VPS13D,963
157,-0.37364898789570405,0.0165553380546,DHRS3,376
158,-0.5825805961613907,0.0007373999999999999,AADACL4,153
159,-0.3424598290158196,0.0050149999999999995,AADACL3,175
160,-0.28430576650176176,0.0147,C1orf158,204
161,-0.3826164751644368,0.013380000000000001,PRAMEF12,84
162,-0.6060645096207508,0.003097,PRAMEF1,188
163,-0.25524821583059365,0.0011359999999999999,PRAMEF11,174
164,-0.18111657452043112,0.0011359999999999999,HNRNPCL1,201
165,-0.21500523632617985,0.02365,PRAMEF2,174
166,-0.4915490803490945,0.1016,PRAMEF4,8
167,-0.6489283059031747,0.1016,PRAMEF10,5
168,-0.055269921544279774,0.8776,PRAMEF25,2
169,-0.17590678465820375,0.08531,HNRNPCL2,66
170,-0.253521490069969,0.5578,PRAMEF19,1
171,-0.3034078521886834,0.3025,PRAMEF17,8
172,-0.2561226021316083,0.2707,PRAMEF20,11
173,-0.4039304700931949,0.0117886962673,LRRC38,350
174,-0.5111543203911124,0.004370000000000001,PDPN,282
175,-0.4616519860518603,0.0002226,PRDM2,600
176,-0.46130088013478904,0.00028989999999999995,KAZN,7126
177,-0.34145953595661815,0.00832971658846,TMEM51,687
178,-0.25401513724788133,0.03481,C1orf195,180
179,-0.4831970887182535,5.945e-05,FHAD1,871
180,-0.44171284647528514,0.037360000000000004,EFHD2,214
181,-0.43916051783833837,0.001489,CTRC,140
182,-0.41779291442217903,0.001489,CELA2A,191
183,-0.3411897404660913,0.0281,CELA2B,199
184,-0.2551863822720517,0.03684,CASP9,319
185,-0.3274567364207432,0.02572,DNAJC16,391
186,-0.3427143712042459,0.02572,AGMAT,268
187,-0.4607681141489024,0.00839606092634,DDI2,382
188,-0.4451413118939451,0.024400012897799996,RSC1A1,108
189,-0.36984821323642053,0.02228,PLEKHM2,375
190,-0.36123696610534184,0.01007,SLC25A34,102
191,-0.37111967225938547,0.01007,TMEM82,115
192,-0.5051569228911839,0.0159,FBLIM1,230
193,-0.44206577169162625,0.002496,UQCRHL,157
194,-0.4771810981387643,0.001212,SPEN,420
195,-0.49746848007855504,0.000831,ZBTB17,207
196,-0.4605943342137912,0.000831,TBC1D3P6,276
197,-0.3685468153155237,0.01201,C1orf64,201
198,-0.33534478495702724,0.011059999999999999,HSPB7,213
199,-0.4071257615440302,0.0006579,CLCNKA,331
200,-0.4431673059605164,0.0006579,CLCNKB,430
201,-0.45012396509396874,0.009698,FAM131C,331
202,-0.3567380880889974,0.009677,EPHA2,200
203,-0.5539790882285031,0.00243825509892,ARHGEF19,228
204,-0.3815693718290389,0.03762,ANO7P1,124
205,-0.35558251383975237,0.08313,RSG1,124
206,-0.34732498516236365,0.009075,FBXO42,564
207,-0.47275970016657626,0.020312112182,SZRD1,244
208,-0.4348394876844984,0.02276,SPATA21,271
209,-0.4414679071785052,0.02276,NECAP2,156
210,-0.1380442827637918,0.2282,FAM231B,18
211,-0.11745527917380574,0.6799,NBPF1,4
212,-0.5234447916082307,0.0644369077238,FAM231A,17
213,-0.24787946583576295,0.4852,FAM231C,3
214,-0.4567856175827136,0.00145654247288,CROCC,337
215,-0.6252498748155363,0.0043283047541,MFAP2,136
216,-0.7955323016194905,0.0033623832358999997,ATP13A2,179
217,-0.8589501230508026,0.0033623832358999997,SDHB,251
218,-0.5229791170092484,0.01592,PADI2,478
219,-0.34353414836446566,0.003057,PADI1,349
220,-0.2901071330292546,0.003592,PADI3,354
221,-0.4301368549540793,0.0040149999999999995,PADI4,596
222,-0.4960130170321042,0.0032409999999999995,PADI6,373
223,-0.5459939731311189,0.0017170000000000002,RCC2,267
224,-0.3661491025296172,0.00885441478479,ARHGEF10L,706
225,-0.4532910736973309,0.0025545618129000002,ACTL8,371
226,-0.47149077457468996,0.0007773453350399999,IGSF21,1415
227,-0.4387466606505292,0.00016450000000000001,KLHDC7A,163
228,-0.4776336572119581,0.0003798,PAX7,631
229,-0.5052861339040566,0.0009607000000000001,TAS1R2,335
230,-0.7054809275673105,0.00210999035541,ALDH4A1,380
231,-0.6065244501872809,0.001292,IFFO2,426
232,-0.4574773351966026,0.0005877,UBR4,689
233,-0.46854742742240985,0.002926,EMC1,298
234,-0.46473443544595655,0.0174054428179,MRTO4,198
235,-0.4058965199238687,0.0209,AKR7A3,176
236,-0.40490331828899756,0.015090000000000001,AKR7A2,171
237,-0.3829856040706376,0.015090000000000001,PQLC2,272
238,-0.3760857298568211,0.001051,CAPZB,1039
239,-0.5604287681674444,0.013505262907799999,MINOS1,295
240,-0.5061803328864461,0.013505262907799999,MINOS1-NBL1,453
241,-0.41205326223987265,0.01895,NBL1,204
242,-0.4165541840090068,0.01316,HTR6,182
243,-0.4419171294758794,0.008496,TMCO4,613
244,-0.5795143278378504,0.01152,RNF186,130
245,-0.35771073861916997,0.002416,OTUD3,208
246,-0.4085875951921217,0.002416,PLA2G2E,133
247,-0.29965185392666677,0.005913,PLA2G2A,129
248,-0.49765608712444565,0.00996365771292,PLA2G5,259
249,-0.3573542932916236,0.028810000000000002,PLA2G2D,108
250,-0.537067049633721,0.00533427255217,PLA2G2F,101
251,-0.45687242830503505,0.00533427255217,PLA2G2C,115
252,-0.5943935054458016,0.01901,UBXN10,90
253,-0.27411893293766565,0.0010129537036,VWA5B1,491
254,-0.44571387584271527,0.00440046691373,CAMK2N1,83
255,-0.48624680421402705,0.00395867191902,MUL1,129
256,-0.4835869966249458,0.021076947691599998,FAM43B,130
257,-0.3753876765504104,0.005343,CDA,373
258,-0.3134696116476249,0.006241,PINK1,240
259,-0.31882061028458814,0.006241,DDOST,192
260,-0.47733086208127,0.00293224880724,KIF17,435
261,-0.8906257346771308,0.000201158585995,SH2D5,172
262,-1.1673072722361346,0.00011180844343,HP1BP3,251
263,-1.1561656955743085,2.28996689599e-05,EIF4G3,1526
264,-0.42164260998409725,0.0017871168822000002,ECE1,697
265,-0.42056793508290297,0.00026365159298099997,NBPF3,451
266,-0.4655335173300904,0.005211,ALPL,596
267,-0.3838906372310207,0.003046,RAP1GAP,548
268,-0.4398350265712582,0.003171,USP48,654
269,-0.5223971397086975,0.01116,LDLRAD2,173
270,-0.5260418638383655,0.0009253028740760002,HSPG2,699
271,-0.4740605580992422,4.87601394012e-05,CELA3B,437
272,-0.47103335241123667,0.007838,CELA3A,305
273,-0.5809133471389132,0.00449916823196,CDC42,295
274,-0.5146629982672554,0.0034407728408899995,WNT4,253
275,-0.6517522286370983,0.0040755515408000004,ZBTB40,325
276,-0.4860527674662729,0.006472433842859999,EPHA8,360
277,-0.40677341179511206,0.007716,C1QA,140
278,-0.3439265792131583,0.007716,C1QC,158
279,-0.3226200986966624,0.007716,C1QB,163
280,-0.5108044436590183,0.000226633269926,EPHB2,817
281,-0.457009900574343,0.0054600000000000004,LACTBL1,189
282,-0.6220563145100778,0.01146,C1orf234,76
283,-0.5359671219549544,0.006426,KDM1A,231
284,-0.42829900849966435,0.006426,LUZP1,398
285,-0.33609567931048284,0.02341,HTR1D,129
286,-0.43023265270112465,0.0017120000000000002,HNRNPR,183
287,-0.42205283637322344,0.0017120000000000002,ZNF436,116
288,-0.41538131532426015,0.001093,TCEA3,272
289,-0.5084445686074708,0.002442,ASAP3,347
290,-0.4529740563190222,0.01456,E2F2,212
291,-0.5043912981191911,0.005961,ID3,77
292,-0.3270296420159244,0.01797,RPL11,100
293,-0.2904163443879754,0.036489999999999995,TCEB3,140
294,-0.441848509922291,0.0044210000000000005,PITHD1,60
295,-0.4609488173400476,0.0044210000000000005,LYPLA2,55
296,-0.5069198597327155,0.0044210000000000005,GALE,47
297,-0.47043652914767087,0.03982,HMGCL,150
298,-0.35781284453788903,0.003053,FUCA1,210
299,-0.3739218949319788,0.007312999999999999,CNR2,413
300,-0.3378533489789736,0.1902,PNRC2,25
301,-0.39109413208518506,0.134,SRSF10,37
302,-0.4601087855320344,0.004468,MYOM3,452
303,-0.4206312946511867,0.004468,IL22RA1,238
304,-0.33216685618495206,0.015430000000000001,IFNLR1,304
305,-0.3533238998872898,0.004070000000000001,GRHL3,252
306,-0.3703809198239482,0.014730000000000002,STPG1,367
307,-0.40140862923332277,0.004757,NIPAL3,359
308,-0.5435814553863059,0.00427768553831,RCAN3,282
309,-0.4098596371197492,0.001152,NCMAP,601
310,-0.4527049226887676,3.625e-05,SRRM1,123
311,-0.30928362945506865,0.00663803110715,CLIC4,308
312,-0.4805301170832085,0.004609,RUNX3,352
313,-0.25492148212485266,0.025736308011599998,SYF2,77
314,-0.30802039146486765,0.009003,RSRP1,64
315,-0.5178187703545526,0.003379,RHD,179
316,-0.41963121146662663,0.0031829999999999996,TMEM50A,103
317,-0.3688521721704093,0.01105,RHCE,227
318,-0.4695043334043605,0.01915,TMEM57,204
319,-0.6797582579411714,0.0107448167759,LDLRAP1,145
320,-0.32569940858295177,0.0032890000000000003,MAN1C1,574
321,-0.43025480432435614,0.01015,SEPN1,224
322,-0.49372108737823084,0.01402,MTFR1L,184
323,-0.398744248942733,0.014509999999999999,AUNIP,241
324,-0.3337326761277976,0.014509999999999999,PAQR7,154
325,-0.34173250606033617,0.014509999999999999,STMN1,145
326,-0.38140087485403035,0.00681121357523,PAFAH2,280
327,-0.41385046587041896,0.015090000000000001,EXTL1,163
328,-0.37224450321675506,0.015090000000000001,SLC30A2,141
329,-0.34852032229331364,0.04537,TRIM63,204
330,-0.4041558539879087,0.00751756462315,PDIK1L,156
331,-0.39813459819795183,0.008486,FAM110D,128
332,-0.41680669627240646,0.008278,ZNF593,142
333,-0.4271539642334708,0.008278,CNKSR1,221
334,-0.4466758823650055,0.003022,CATSPER4,187
335,-0.39858758873214856,0.000951,CEP85,336
336,-0.3891752892197042,0.007453,SH3BGRL3,125
337,-0.4532589742960208,0.0009504,UBXN11,306
338,-0.5174227385044953,0.000835788097975,CD52,129
339,-0.5511589650788804,0.000835788097975,AIM1L,290
340,-0.6038201409410254,0.005120109577390001,ZNF683,204
341,-0.3479140570291583,0.00670170164618,LIN28A,154
342,-0.4509135079924442,0.00670170164618,DHDDS,188
343,-0.43325038862982235,0.0278162256429,HMGN2,84
344,-0.38998410332687794,0.000985,RPS6KA1,248
345,-0.49095508238793406,0.049319999999999996,LOC101928728,53
346,-0.4489972548308589,0.009918999999999999,ARID1A,249
347,-0.43086803933639467,0.0561999503487,PIGV,61
348,-0.3416233066139726,0.0351790333974,ZDHHC18,131
349,-0.3885861065674641,0.045989999999999996,SFN,67
350,-0.48837924945980765,0.022631098978200002,GPN2,83
351,-0.4861794649152049,0.022631098978200002,GPATCH3,85
352,-0.4003180580720579,0.03261,NR0B2,81
353,-0.44164292843042574,0.0279721693681,NUDC,142
354,-0.4587431604461614,0.017730000000000003,KDF1,89
355,-0.6195401401599779,0.020817111413,TRNP1,71
356,-0.6218115270667689,0.034,FAM46B,65
357,-0.35576469768521324,0.00646608148969,SLC9A1,145
358,-0.5522776932635367,0.0009551999999999999,WDTC1,270
359,-0.5332311352421384,0.0123507460339,TMEM222,118
360,-0.5135700178003108,0.0123507460339,SYTL1,146
361,-0.4673660117375372,0.02186,MAP3K6,127
362,-0.3755660314891496,0.02186,FCN3,85
363,-0.38140157839212674,0.05583,CD164L2,72
364,-0.4336028805116695,0.013269999999999999,GPR3,76
365,-0.40188919824693076,0.00690383731295,WASF2,309
366,-0.2941980891363823,0.0150365641456,AHDC1,206
367,-0.3851160501316774,0.0150365641456,FGR,130
368,-0.42559615471257783,0.00729033345713,IFI6,88
369,-0.3081445342074614,0.0311,FAM76A,196
370,-0.551481209330555,0.0152669821405,STX12,210
371,-0.5267530696786223,0.0165261974891,PPP1R8,100
372,-0.5789027033612262,0.01781,THEMIS2,162
373,-0.576838219488019,0.01781,RPA2,247
374,-0.4529308916115607,0.005143,SMPDL3B,259
375,-0.4482989244009617,0.048589999999999994,XKR8,113
376,-0.47134213910319017,0.009207,EYA3,638
377,-0.5883184292075726,0.0026829999999999996,PTAFR,234
378,-0.4409707525139984,0.02093,DNAJC8,299
379,-0.44843453128552485,0.026619999999999998,ATPIF1,134
380,-0.5009663812361471,0.002391,SESN2,214
381,-0.880352714292283,7.547e-05,MED18,103
382,-0.9606290425907876,0.0002593,PHACTR4,801
383,-0.7883268552808846,0.00030913036466600005,RCC1,251
384,-0.8329319159988088,0.0013741358296300002,TRNAU1AP,156
385,-0.5810863436641068,0.0065049999999999995,RAB42,70
386,-0.595850221624235,0.002074,TAF12,259
387,-0.6309524268770632,0.00188300039025,GMEB1,244
388,-0.6210036629374415,0.01653,YTHDF2,215
389,-0.48898086738574786,0.0073219999999999995,OPRD1,393
390,-0.4767494847017825,0.008564,EPB41,969
391,-0.4641033324774433,0.025710000000000004,TMEM200B,115
392,-0.42347641159968236,0.005483,SRSF4,232
393,-0.43037094185033814,0.017509999999999998,MECR,246
394,-0.5153676895223986,0.00194500476719,PTPRU,447
395,-0.5323745764257853,0.01916,MATN1,167
396,-0.7396983099323148,0.00998975810691,LAPTM5,141
397,-0.6219696052418692,0.001347,SDC3,247
398,-0.8855979671218193,2.729e-05,PUM1,750
399,-0.8743119098404007,0.0007629603728510001,NKAIN1,477
400,-0.581864273072441,0.004386999999999999,SNRNP40,291
401,-0.5779814893701234,0.007236,ZCCHC17,378
402,-0.6892746461852411,0.007236,FABP3,116
403,-0.4596669789007597,0.00483005943908,SERINC2,287
404,-0.5424269726888856,0.011470000000000001,TINAGL1,115
405,-0.19617834922974275,0.0124,HCRTR1,92
406,-0.2977198823902034,0.0124,PEF1,105
407,-0.3770715827210533,0.0144,COL16A1,278
408,-0.3499351884243529,0.0016829999999999998,ADGRB2,207
409,-0.3264960929897911,0.006681,SPOCD1,211
410,-0.28758564195763886,0.03108,PTP4A2,230
411,-0.32510040045586913,0.002531,KHDRBS1,217
412,-0.34287776238021594,0.006224,TMEM39B,164
413,-0.3364130167813505,0.0028469999999999997,KPNA6,269
414,-0.360546527514346,0.000298,TXLNA,128
415,-0.35940117118370557,0.01633,CCDC28B,81
416,-0.34096304990970633,0.01633,IQCC,79
417,-0.3367449791170497,0.01633,DCDC2B,91
418,-0.3258041736617533,0.01633,TMEM234,93
419,-0.2966859570135683,0.02339,EIF3I,89
420,-0.38765167473072754,0.03837,FAM167B,72
421,-0.4514775434492123,0.006809999999999999,LCK,163
422,-0.37624848389817067,0.007418000000000001,HDAC1,162
423,-0.29032776965820156,0.06912742290280001,MARCKSL1,39
424,-0.3838948431563822,0.04502358406169999,TSSK3,74
425,-0.3362764953974079,0.1319,FAM229A,51
426,-0.4269874784877079,0.0016673117475799997,BSDC1,108
427,-0.7612397294520661,0.00293548600474,ZBTB8B,101
428,-0.41443613343881064,0.00034810480372300006,ZBTB8A,321
429,-0.30842578264485215,0.009795,ZBTB8OS,253
430,-0.31545886728443545,0.01141,RBBP4,288
431,-0.34472409643946433,0.00644959873668,SYNC,206
432,-0.43759432536964427,0.0014140694598599997,KIAA1522,159
433,-0.42372361635264655,0.003404,YARS,218
434,-0.42991810947280484,0.009887,S100PBP,208
435,-0.4272878916449549,0.009887,FNDC5,89
436,-0.38811645607732326,0.01529,HPCA,95
437,-0.42898956862181786,0.01529,TMEM54,74
438,-0.544020723615111,0.008915000000000001,RNF19B,184
439,-0.4400726026518912,0.01122,AK2,202
440,-0.3588016756429531,0.02219,AZIN2,280
441,-0.3975798269221726,0.012657022809399999,TRIM62,266
442,-0.37768851516936724,0.0121,ZNF362,218
443,-0.40494079190301707,0.012612213332499999,A3GALT2,146
444,-0.36285064320595656,0.0211,PHC2,303
445,-0.5883504859289848,0.001538,ZSCAN20,157
446,-0.4554861435882882,8.02221378608e-05,CSMD2,2752
447,-0.3873095651463666,0.000448135756453,HMGB4,74
448,-0.34971868074980267,0.009165000000000001,C1orf94,390
449,-0.5115525952269927,0.008382958107470001,GJB5,133
450,-0.5734496977682605,0.008382958107470001,GJB4,132
451,-0.6769435948835215,0.004926,GJB3,145
452,-0.5746185563495263,0.007836,GJA4,150
453,-0.33676799481749947,0.011094647504700001,SMIM12,113
454,-0.4606375992523207,0.011094647504700001,DLGAP3,190
455,-0.4132502909269262,0.04591,ZMYM6NB,87
456,-0.3840290520382022,0.026330000000000003,ZMYM6,226
457,-0.4200300442866181,0.02584,ZMYM1,258
458,-0.3598083701630041,0.0069819999999999995,SFPQ,206
459,-0.3558682258035003,0.0025050000000000003,ZMYM4,596
460,-0.32900169869165474,0.008765,KIAA0319L,446
461,-0.2713305116086035,0.03538,NCDN,83
462,-0.34236856381985914,0.019984943765599998,TFAP2E,168
463,-0.38364742643425476,0.019984943765599998,PSMB2,338
464,-0.4317414559805636,0.02249,C1orf216,67
465,-0.3726198261378283,0.02085,CLSPN,172
466,-0.3847438432188688,0.0206728108908,AGO4,194
467,-0.42514555801781867,0.031039999999999998,AGO1,227
468,-0.3692617002852654,0.0223850260434,AGO3,337
469,-0.37446923621296824,0.02345,TEKT2,79
470,-0.400120370111391,0.0164839745332,ADPRHL2,93
471,-0.4025776632611361,0.0140870872777,COL8A2,193
472,-0.5078150970472022,0.000632961458575,TRAPPC3,134
473,-0.5654257497262898,0.000632961458575,MAP7D1,176
474,-0.3705807019865489,0.01515,THRAP3,296
475,-0.44527806216150706,0.01065,SH3D21,110
476,-0.4907605407624204,0.01065,EVA1B,63
477,-0.5622797106352928,0.01065,STK40,190
478,-0.47255879045830507,0.01284,LSM10,158
479,-0.40988913644740843,0.005085,OSCP1,350
480,-0.4394544906801754,0.005085,MRPS15,164
481,-0.565525186091064,0.004354,CSF3R,190
482,-0.5747875083501439,0.0027369485042800005,GRIK3,880
483,-0.3497375762683916,0.02143,ZC3H12A,119
484,-0.392037794625126,0.02143,MEAF6,204
485,-0.39269406255246886,0.00914,SNIP1,169
486,-0.37372510890854643,0.00914,DNALI1,125
487,-0.40076066424658835,0.01081,GNL2,204
488,-0.4158734212895102,0.0004335,RSPO1,187
489,-0.5500067034858079,0.00714120881681,C1orf109,163
490,-0.4932664166373239,0.022961898777299997,CDCA8,220
491,-0.5250016703489636,0.001166,EPHA10,413
492,-0.7107918036529182,0.0005616000000000001,MANEAL,86
493,-0.5587555146904577,0.0163048736264,YRDC,56
494,-0.5032707724873078,0.0163048736264,C1orf122,55
495,-0.5460432211850033,0.0006653,MTF1,233
496,-0.5153938343679171,0.0022699931072600005,INPP5B,428
497,-0.3051922707536871,0.00571,SF3A3,257
498,-0.4811402681690083,0.001105,FHL3,118
499,-0.5176856493968557,0.001105,UTP11L,101
500,-0.3248600507485645,0.005169,POU3F1,76
501,-0.342030109487594,0.00673,RRAGC,187
502,-0.3200358670948514,0.008568000000000001,MYCBP,131
503,-0.30850007573391747,0.034319999999999996,GJA9,148
504,-0.37140692806421616,0.003454,RHBDL2,413
505,-0.4210589389383838,0.013315792180899998,AKIRIN1,196
506,-0.5676511453546128,0.00802839828087,NDUFS5,186
507,-0.4116999714064053,0.00364476485119,MACF1,1701
508,-0.4773130610549999,0.01785,KIAA0754,96
509,-0.44335459039861125,0.0005059923944630001,BMP8A,284
510,-0.6057594916668124,0.006839309279089999,PABPC4,166
511,-0.6074317244848745,0.0005960767298080001,HEYL,153
512,-0.4603909569454442,0.0180327056807,NT5C1A,164
513,-0.37655585321480095,0.030444766675,HPCAL4,197
514,-0.517547734042951,0.0144238124621,PPIE,154
515,-0.5742055141772007,0.0150962587472,BMP8B,316
